hcp_id,primary_rep,secondary_rep
H001,R001,
H002,R001,
H003,R001,
H004,R002,
H005,R001,
H006,R001,
H007,R002,
H008,R001,
H009,R002,
H010,R001,
H011,R001,
H012,R001,
H013,R002,
H014,R001,
H015,R001,
H016,R002,
H017,R001,
H018,R002,
H019,R001,
H020,R002,
H021,R003,
H022,R003,
H023,R003,
H024,R003,
H025,R003,
H026,R003,
H027,R004,
H028,R004,
H029,R003,
H030,R003,
H031,R004,
H032,R003,
H033,R004,
H034,R003,
H035,R004,
H036,R004,
H037,R004,
H038,R003,
H039,R004,
H040,R003,
H041,R005,
H042,R005,
H043,R006,
H044,R005,
H045,R005,
H046,R006,
H047,R005,
H048,R005,
H049,R005,
H050,R006,
H051,R005,
H052,R006,
H053,R005,
H054,R005,
H055,R006,
H056,R005,
H057,R006,
H058,R005,
H059,R006,
H060,R006,
H061,R007,
H062,R008,
H063,R007,
H064,R007,
H065,R007,
H066,R008,
H067,R007,
H068,R008,
H069,R007,
H070,R007,
H071,R007,
H072,R008,
H073,R007,
H074,R007,
H075,R007,
H076,R008,
H077,R007,
H078,R008,
H079,R007,
H080,R008,
